name,color,type,note
brown,#d8a77a,accent,
black,#46413c,accent,
green,#a3cca9,accent,
green,#a7ba71,accent,
dark_red,#99495d,accent,
brown,#b78845,accent,
pink,#e383a2,accent,
blue,#9dd7df,accent,
red,#b4484c,accent,
light_green,#d1e2ca,accent,
chart_grid,#bcb2a9,accent_ui,
chart_grid_darker,#a99f96,accent_ui,
text_black,#010000,text,
text_light,#67605a,text,
salmon,#fff1e5,background,pick from FT website CSS
pure_white,#FFFFFF,background,
pure_black,#000000,text,
