name,color,type,note
red,#ce3240,accent,
green,#9bc154,accent,
light_blue,#6edde8,accent,
blue,#46b6dc,accent,
chart_grid,#bcb2a9,accent_ui,
chart_grid_darker,#a99f96,accent_ui,
text_black,#010000,text,
text_light,#67605a,text,
salmon,#fff1e5,background,pick from FT website CSS
pure_white,#FFFFFF,background,
pure_black,#000000,text,
